"Site","Easting","Northing"
"Kassab",35.9934016767502,35.9281221648041
"Ras el-Bassit",35.8371339463004,35.8467238538678
"Bdamal",36.1943262957055,35.8101248705428
"Damat",35.8404816920218,35.727045683217
"Tell Shamiye",35.8317507118996,35.6543528005904
"Qala'at el Syriani",35.9219994649496,35.613843561541
"Minet el-Beida",35.7739049048617,35.6068081026102
"Ras ibn Hani",35.7459823452539,35.5882189596082
"Jebel el Qal'a",35.9054004562501,35.5728920312701
"Rou'asat el-Amir",35.8824520131601,35.5598768246722
"Hirbet el-Msalla",35.9010553400692,35.5152210511612
"Rouesset el-Simheni",35.8419969660541,35.5125700566158
"Lattakiah",35.7790896255591,35.5048295099638
"Stamo",35.9215510940358,35.4827911016222
"Qal'at el-Rouss",35.922699395238,35.4183749973208
"Tell Toueini",35.9406611525641,35.3695793466537
"Gaba'la",35.9267948756931,35.3588711867051
